study_hours,attendance_percent,previous_score,assignment_score,sleep_hours,internet_hours,extracurricular_activities,final_score,performance
1.05,82.75,62.38,66.02,7.83,2.13,0,55.5,Low
1.46,79.41,58.18,58.38,4.48,5.72,3,42.92,Low
6.45,62.44,56.7,49.59,8.5,1.42,4,81.01,High
8.21,66.4,58.49,37.99,7.63,5.13,3,81.59,High
3.15,62.21,40.39,57.89,4.34,5.79,4,61.75,Medium
8.64,93.34,39.65,81.24,7.46,5.12,2,79.96,High
1.52,81.29,81.79,36.2,7.16,3.56,3,67.32,Medium
8.21,88.08,61.76,63.55,7.79,5.88,0,85.46,High
9.35,68.32,90.84,76.86,8.14,5.16,4,98.78,High
7.95,71.71,71.73,74.68,7.59,2.45,3,78.46,High
7.28,73.22,37.11,85.48,6.93,4.94,1,81.72,High
8.54,89.2,44.45,87.68,5.61,7.17,1,86.66,High
1.36,89.76,47.35,81.26,7.49,5.67,3,58.3,Low
2.82,64.31,93.54,41.68,8.78,4.3,0,66.46,Medium
2.12,97.37,48.12,65.88,6.94,3.25,4,60.1,Medium
5.54,60.43,65.95,74.22,7.32,1.6,1,68.81,Medium
7.71,95.33,91.17,50.96,6.19,2.71,0,88.53,High
6.67,59.52,93.63,37.77,7.78,1.08,1,69.38,Medium
8.66,66.9,49.18,49.53,8.99,7.91,4,82.25,High
2.4,93.09,37.95,64.57,4.8,2.56,1,63.79,Medium
7.61,63.08,44.22,61.91,5.01,6.7,2,64.67,Medium
2.74,73.61,38.8,46.48,6.7,2.18,4,57.18,Low
3.44,75.24,46.71,88.59,6.41,2.99,0,61.2,Medium
7.39,66.04,69.11,95.17,6.86,3.93,3,84.22,High
9.82,86.96,89.75,48.09,4.25,3.27,1,90.73,High
6.5,93.31,67.23,95.42,6.02,6.59,3,79.29,High
1.49,94.36,72.56,36.16,6.91,7.7,0,61.97,Medium
6.55,70.27,47.11,95.12,6.93,7.13,0,71.34,Medium
1.38,78.89,83.04,96.88,7.29,2.08,3,77.78,High
8.96,66.18,72.07,35.78,7.6,6.44,4,82.03,High
7.39,66.02,86.85,84.6,7.21,2.04,4,83.0,High
2.56,62.26,91.93,98.06,7.95,7.39,3,72.16,Medium
1.83,97.3,55.87,93.88,7.12,4.63,2,69.05,Medium
2.65,94.96,40.43,98.1,6.69,3.35,0,68.74,Medium
9.82,89.98,48.56,70.77,7.03,2.1,1,98.66,High
5.13,78.29,61.27,40.08,4.51,1.08,3,65.06,Medium
8.06,77.08,91.74,90.24,5.37,2.74,1,90.48,High
6.73,78.84,57.7,74.9,6.64,7.4,2,74.43,High
6.15,79.15,81.25,74.96,8.36,6.58,0,73.54,Medium
2.31,74.56,67.43,62.12,7.4,7.79,2,56.21,Low
9.51,60.93,45.97,72.17,4.45,1.71,1,86.27,High
3.71,60.65,54.24,44.98,6.96,5.15,0,55.8,Low
6.2,97.85,74.19,83.09,5.11,2.8,0,77.62,High
7.3,76.69,75.37,39.88,7.67,4.8,2,72.15,Medium
6.84,97.89,61.09,82.44,8.14,3.24,1,96.07,High
9.47,62.36,48.72,90.18,6.97,2.98,0,83.63,High
2.34,79.95,78.31,65.71,6.96,5.02,2,60.54,Medium
5.58,64.35,45.13,68.14,5.69,2.28,0,63.35,Medium
4.64,66.39,91.2,55.29,6.23,4.28,0,61.83,Medium
5.27,56.35,46.27,98.01,8.32,5.56,0,72.57,Medium
2.07,60.35,41.44,82.65,7.62,1.9,2,52.09,Low
2.21,96.26,64.86,58.98,6.6,7.51,4,69.8,Medium
3.5,69.47,66.17,46.36,5.84,4.54,1,59.11,Medium
3.74,82.37,65.49,49.27,4.25,6.74,1,67.36,Medium
4.85,75.93,61.2,65.15,4.72,5.58,1,66.44,Medium
6.5,73.02,94.69,96.27,4.97,5.97,1,86.23,High
6.71,78.93,64.18,82.72,5.87,6.01,3,81.9,High
4.71,63.43,63.68,48.99,8.72,7.13,1,66.12,Medium
4.68,99.49,60.31,90.87,6.53,5.3,3,79.57,High
2.96,91.82,39.01,59.58,5.17,2.95,4,59.8,Medium
6.29,88.37,70.58,90.36,4.53,1.7,4,93.72,High
3.85,76.09,48.68,50.71,5.69,5.24,2,54.14,Low
1.32,61.88,73.26,75.21,8.08,1.46,3,59.05,Medium
4.77,96.43,38.05,95.23,5.92,2.69,4,74.81,High
5.27,70.36,93.88,51.76,7.86,1.42,3,80.85,High
3.03,57.25,63.14,80.04,8.01,4.84,1,56.89,Low
6.15,70.41,88.81,99.18,4.55,2.12,0,82.51,High
6.09,90.75,63.53,44.79,7.04,5.27,0,74.33,High
7.32,83.02,38.62,40.75,8.8,6.54,4,66.98,Medium
6.83,88.79,84.33,78.82,6.01,6.75,2,84.83,High
6.87,90.71,73.89,57.08,4.25,3.17,1,75.38,High
3.85,64.54,81.91,39.63,8.62,4.84,1,55.81,Low
8.09,96.57,60.69,65.89,8.42,4.94,1,89.91,High
5.94,74.71,73.28,84.0,6.61,4.31,4,81.31,High
4.88,83.76,86.37,53.53,6.76,5.59,3,77.86,High
6.63,55.1,72.86,56.78,5.06,2.47,4,74.84,High
4.25,99.7,55.86,89.97,8.1,7.85,1,64.25,Medium
5.61,67.64,74.75,68.8,6.49,1.69,2,68.09,Medium
